AAPL,APPLE,"39,410,300",96.7,AAPL Chart
MSFT,MICROSOFT,"35,256,800",51.25,MSFT Chart
NFLX,NETFLIX,"18,603,800",91.12,NFLX Chart
CMCSA,COMCAST,"13,190,600",58.03,CMCSA Chart
GILD,GILEAD SCIENCES,"12,740,300",88.29,GILD Chart
SBUX,STARBUCKS,"10,569,800",57.24,SBUX Chart
TQQQ,PROSHARES ULTRAPRO QQQ,"6,474,700",82.03,TQQQ Chart
TEVA,TEVA PHARMACEUTICALS,"5,278,300",56.86,TEVA Chart
EA,ELECTRONIC ARTS,"5,251,700",60.94,EA Chart
CTSH,COGNIZANT TECH SOLUTION,"5,054,400",56.06,CTSH Chart
WYNN,WYNN RESORTS,"4,842,100",73.98,WYNN Chart
ADBE,ADOBE SYSTEMS,"4,591,600",81.88,ADBE Chart
KHC,The Kraft Heinz Company,"4,366,200",74.03,KHC Chart
NXPI,NXP SEMICONDUCTORS,"4,353,300",70.04,NXPI Chart
WBA,"Walgreens Boots Alliance, Inc.","4,278,200",77.48,WBA Chart
ESRX,EXPRESS SCRIPTS,"4,267,700",69,ESRX Chart
SWKS,SKYWORKS SOLUTIONS,"4,168,700",63.52,SWKS Chart
AKAM,AKAMAI TECHNOLOGIES,"3,949,100",51.22,AKAM Chart
SNDK,SANDISK,"3,901,600",69.83,SNDK Chart
ROST,ROSS STORES,"3,836,700",55.13,ROST Chart
GMCR,GREEN MNTN COFFEE ROASTER,"3,682,300",90.79,GMCR Chart
CERN,CERNER,"3,543,600",52.82,CERN Chart
DLTR,DOLLAR TREE STORES,"3,449,900",78.54,DLTR Chart
TRIP,TRIPADVISOR,"2,955,100",61.74,TRIP Chart
INCY,INCYTE CORP,"2,936,500",71.68,INCY Chart
FSLR,FIRST SOLAR,"2,702,300",66.12,FSLR Chart
LRCX,LAM RESEARCH,"2,653,900",70,LRCX Chart
XRAY,DENTSPLY INTL,"2,618,400",58.05,XRAY Chart
PAYX,PAYCHEX,"2,485,400",50.08,PAYX Chart
VRTX,VERTEX,"2,421,500",86.35,VRTX Chart
PCAR,PACCAR,"2,250,800",51.02,PCAR Chart
KLAC,KLA-TENCOR,"2,123,300",66.05,KLAC Chart
LULU,LULULEMON ATHLETICA,"2,103,100",60.34,LULU Chart
INTU,INTUIT,"2,070,000",95.6,INTU Chart
ACWI,iShares MSCI ACWI INDEX FUND,"2,054,700",51.92,ACWI Chart
BMRN,BIOMARIN PHARMACEUTICALS,"2,039,900",76.03,BMRN Chart
CME,CME GROUP,"1,959,600",91.49,CME Chart
NTRS,NORTHERN TRUST,"1,871,900",59.56,NTRS Chart
CHRW,CH ROBINSON WORLDWIDE,"1,856,000",69.89,CHRW Chart
CTXS,CITRIX SYSTEMS,"1,821,400",68.24,CTXS Chart
ADP,AUTOMATIC DATA PROCESSING,"1,792,900",83.91,ADP Chart
TROW,T ROWE PRICE,"1,721,900",68.94,TROW Chart
FANG,DIAMONDBACK ENERGY INC,"1,710,100",70.44,FANG Chart
HAS,HASBRO,"1,602,600",74.25,HAS Chart
SBAC,SBA COMMUNICATIONS,"1,582,700",92,SBAC Chart
JACK,JACK IN THE BOX,"1,439,300",70.16,JACK Chart
CHKP,CHECK POINT SOFTWARE,"1,419,300",80.95,CHKP Chart
VRSK,VERISK ANALYTICS,"1,387,600",70.15,VRSK Chart
FISV,FISERV,"1,360,800",95.74,FISV Chart
GOLD,RANDGOLD RESOURCES,"1,312,300",87.37,GOLD Chart
DXCM,DEXCOM,"1,267,800",62.32,DXCM Chart
ALNY,ALNYLAM PHARMACEUTICALS,"1,222,300",60.96,ALNY Chart
NDAQ,NASDAQ OMX GROUP,"1,214,900",62.51,NDAQ Chart
VRSN,VERISIGN,"1,180,000",80.65,VRSN Chart
DECK,DECKERS OUTDOOR CORP,"1,173,500",52.63,DECK Chart
VCSH,VANGUARD SHORT-TERM CORP BOND,"1,135,000",79,VCSH Chart
AMCX,AMC NETWORKS,"1,103,300",65.72,AMCX Chart
SSNC,SS&C TECHNOLOGIES HOLDINGS,"1,076,300",57.85,SSNC Chart
WBMD,WEBMD HEALTH,"1,043,100",52.92,WBMD Chart
ANAC,ANACOR PHARMACEUTICALS,"1,029,800",68.75,ANAC Chart
TSCO,TRACTOR SUPPLY,"990,800",84.28,TSCO Chart
VCIT,VANGUARD INTERMEDIATE-TM CORP BOND I,"984,100",84.59,VCIT Chart
WOOF,VCA ANTECH,"982,500",50.33,WOOF Chart
ACHC,ACADIA HEALTH CARE CO,"967,600",55.91,ACHC Chart
CAVM,CAVIUM,"959,900",55.41,CAVM Chart
JBHT,JB HUNT TRANS,"924,000",76.08,JBHT Chart
ODFL,OLD DOMINION FREIGHT LNS,"903,400",62.51,ODFL Chart
SIVB,SVB FINANCIAL,"901,000",88.64,SIVB Chart
ASML,ASML HOLDINGS,"899,900",88.21,ASML Chart
FFIV,F5 NETWORKS,"889,500",92.92,FFIV Chart
TREE,TREE.COM,"889,200",70.45,TREE Chart
CINF,CINCINNATI FINANCIAL CORP,"873,800",62.2,CINF Chart
LAMR,LAMAR ADVERTISING,"861,400",54.71,LAMR Chart
MANH,MANHATTAN ASSOCIATES,"859,700",53.07,MANH Chart
ZBRA,ZEBRA TECHNOLOGIES,"821,700",62.35,ZBRA Chart
ABMD,ABIOMED,"815,600",79.59,ABMD Chart
PCRX,PACIRA PHARMACEUTICALS,"787,900",58.01,PCRX Chart
PZZA,PAPA JOHNS INTL,"770,400",53.12,PZZA Chart
EEFT,EURONET WORLDWIDE,"763,200",66.23,EEFT Chart
AMSG,AMSURG,"758,900",67.88,AMSG Chart
RARE,Ultragenyx Pharmaceutical Inc.,"755,400",59.3,RARE Chart
CALM,CAL-MAINE FOODS,"741,300",50.33,CALM Chart
LECO,LINCOLN ELECTRIC HOLDINGS,"716,200",55.83,LECO Chart
BNDX,Vanguard Total Intl Bd Idx ETF,"699,400",53.85,BNDX Chart
YY,YY,"699,000",52.93,YY Chart
IDXX,IDEX LABORATORIES,"667,600",71.53,IDXX Chart
ANSS,ANSYS,"631,900",85.38,ANSS Chart
MELI,MERCADOLIBRE,"626,600",97.31,MELI Chart
